1	1446.71	1.982
2	1444.71	2.065
3	1442.63	2.149
4	1440.46	2.231
5	1438.21	2.318
6	1435.88	2.408
7	1433.46	2.5
8	1430.94	2.591
9	1428.34	2.68
10	1425.65	2.765
11	1422.88	2.847
12	1420.02	2.923
13	1417.1	2.996
14	1414.11	3.063
15	1411.05	3.124
16	1407.94	3.176
17	1404.79	3.223
18	1401.59	3.257
19	1398.37	3.283
20	1395.12	3.301
21	1391.87	3.301
22	1388.61	3.293
23	1385.37	3.273
24	1382.15	3.243
25	1378.97	3.206
26	1375.82	3.162
27	1372.72	3.11
28	1369.68	3.06
29	1366.69	3.006
30	1363.75	2.956
31	1360.86	2.911
32	1358.01	2.871
33	1355.22	2.88
34	1352.42	2.932
35	1349.63	2.971
36	1346.84	2.995
37	1344.02	3.008
38	1341.19	3.027
39	1338.3	2.977
40	1335.47	2.928
41	1332.61	2.954
42	1329.72	2.984
43	1326.83	3.01
44	1323.93	3.041
45	1321.01	3.068
46	1318.09	3.098
47	1315.15	3.126
48	1312.21	3.154
49	1309.21	3.106
50	1306.28	3.055
51	1303.3	3.086
52	1300.31	3.112
53	1297.31	3.142
54	1294.29	3.17
55	1291.26	3.197
56	1288.23	3.226
57	1285.14	3.191
58	1282.12	3.151
59	1279.05	3.18
60	1275.96	3.208
61	1272.87	3.237
62	1269.76	3.264
63	1266.64	3.293
64	1263.51	3.325
65	1260.37	3.353
66	1257.21	3.382
67	1254.05	3.41
68	1250.83	3.358
69	1247.68	3.304
70	1244.48	3.333
71	1241.27	3.361
72	1238.04	3.39
73	1234.81	3.42
74	1231.56	3.448
75	1228.3	3.477
76	1225.03	3.508
77	1221.71	3.467
78	1218.45	3.423
79	1215.15	3.453
80	1211.83	3.48
81	1208.51	3.512
82	1205.17	3.538
83	1201.82	3.568
84	1198.45	3.597
85	1195.08	3.627
86	1191.66	3.582
87	1188.3	3.537
88	1184.89	3.564
89	1181.47	3.595
90	1178.04	3.624
91	1174.6	3.652
92	1171.14	3.682
93	1167.68	3.711
94	1164.2	3.74
95	1160.68	3.704
96	1157.22	3.664
97	1153.71	3.693
98	1150.2	3.722
99	1146.67	3.751
100	1143.13	3.78
101	1139.58	3.81
102	1136.01	3.841
103	1132.44	3.869
104	1128.82	3.816
105	1125.26	3.762
106	1121.66	3.791
107	1118.05	3.821
108	1114.42	3.849
109	1110.79	3.878
110	1107.14	3.908
111	1103.49	3.936
112	1099.82	3.966
113	1096.14	3.995
114	1092.42	3.95
115	1088.76	3.905
116	1085.06	3.933
117	1081.34	3.963
118	1077.62	3.991
119	1073.88	4.021
120	1070.14	4.051
121	1066.38	4.08
122	1062.62	4.109
123	1058.85	4.139
124	1055.02	4.077
125	1051.27	4.013
126	1047.47	4.041
127	1043.66	4.071
128	1039.84	4.1
129	1036.01	4.13
130	1032.17	4.158
131	1028.33	4.189
132	1024.47	4.217
133	1020.61	4.246
134	1016.68	4.18
135	1012.85	4.113
136	1008.96	4.141
137	1005.06	4.171
138	1001.15	4.198
139	997.239	4.227
140	993.315	4.255
141	989.383	4.284
142	985.442	4.313
143	981.494	4.342
144	977.537	4.371
145	973.523	4.299
146	969.6	4.227
147	965.62	4.255
148	961.632	4.283
149	957.637	4.313
150	953.634	4.339
151	949.623	4.368
152	945.605	4.396
153	941.58	4.425
154	937.547	4.454
155	933.507	4.482
156	929.407	4.406
157	925.406	4.327
158	921.345	4.357
159	917.277	4.382
160	913.202	4.412
161	909.121	4.439
162	905.033	4.468
163	900.938	4.495
164	896.837	4.524
165	892.729	4.551
166	888.615	4.578
167	884.44	4.499
168	880.368	4.415
169	876.235	4.441
170	872.096	4.47
171	867.951	4.497
172	863.801	4.524
173	859.644	4.552
174	855.482	4.578
175	851.314	4.608
176	847.141	4.634
177	842.962	4.662
178	838.729	4.593
179	834.588	4.518
180	830.393	4.546
181	826.193	4.573
182	821.987	4.6
183	817.777	4.627
184	813.561	4.655
185	809.341	4.681
186	805.116	4.707
